id,zoneClim,moi,>=alt,<alt,inertieLourde,DH19,Nref19,E,Text,Tefs
404,H1b,8,400,800,oui,0,0,0,0,"15,3"
405,H1b,9,400,800,oui,"2766,9",430,"57,8","13,4","14,8"
406,H1b,10,400,800,oui,"5278,8",603,"61,93","10,3","12,6"
407,H1b,11,400,800,oui,"9913,8",720,"33,95","4,6","8,5"
408,H1b,12,400,800,oui,"11940,5",744,"37,72","1,8","5,9"
409,H1c,1,400,800,oui,"12341,2",744,"47,86","1,8","4,1"
410,H1c,2,400,800,oui,"11034,3",672,"55,9","1,9","2,4"
411,H1c,3,400,800,oui,"8843,1",743,"91,2","6,5","6,5"
412,H1c,4,400,800,oui,"6396,5",680,"86,83","9,6",7
413,H1c,5,400,800,oui,"3424,8",582,"81,59","14,6","12,1"
414,H1c,6,400,800,oui,"729,2",121,"24,21","13,7","13,7"
415,H1c,7,400,800,oui,0,0,0,0,"16,2"
416,H1c,8,400,800,oui,0,0,0,0,"16,8"
417,H1c,9,400,800,oui,1458,263,"43,65",15,16
418,H1c,10,400,800,oui,"5280,4",652,"66,87","11,5","13,8"
419,H1c,11,400,800,oui,"9154,2",718,"45,76","5,6","9,3"
